id,Created date (UTC),Amount,Amount Refunded,Currency,Captured,Converted Amount,Converted Amount Refunded,Converted Currency,Description,Fee,Statement Descriptor,Status,Seller Message,Taxes On Fee,Card ID,Customer ID,Customer Description,Customer Email,Invoice ID,Transfer,Ko-fi Transaction Id (metadata),PageId (metadata),Creator Stripe Id (metadata)
ch_3O2b89AMInl1m7DB0O8lgVzX,2023-10-18 14:53:54,"3,00","0,00",eur,true,"3,00","0,00",eur,,"0,30",Kofi Donation,Paid,Payment complete.,"0,00",pm_1O2b87AMInl1m7DBQoSf7ZMM,cus_OqHhQksMQyuiLa,,,,po_1O37YnAMInl1m7DBmWTuzl4R,5b89cf59-d284-4f1b-84d9-1f3a346dbb57,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-10-18 14:34:09,"3,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"The latest payment attempt of this PaymentIntent has failed or been canceled, and the attached payment method has been removed. You can try confirming again with a new payment method.",,,cus_NP9OQdnXtScGub,,,,,74156242-0d80-4eac-ab4c-749f6246697a,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3NkndAAMInl1m7DB0bcZXEAq,2023-08-30 12:36:23,"10,00","0,00",eur,true,"10,00","0,00",eur,,"0,40",Kofi Donation,Paid,Payment complete.,"0,00",pm_1NkndBAMInl1m7DBLCTVG8H8,cus_OXtQcbPYHKJyHn,,,,po_1NlM8FAMInl1m7DBwfsGqaij,23957d11-b2e9-40b9-ad99-6f798b3c3b5f,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3N5PQRAMInl1m7DB1QDF4ONY,2023-05-08 08:28:13,"3,00","0,00",eur,true,"3,00","0,00",eur,,"0,30",Kofi Donation,Paid,Payment complete.,"0,00",pm_1N5PQSAMInl1m7DB1D4dqA7d,cus_Nr7fiU1AakzRpY,,,,po_1N62FiAMInl1m7DBcruP6f51,8021b997-6cd3-49bc-934e-9bc7aaec896e,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-03-02 08:00:48,"100,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"This Connect account cannot currently make live charges. The `requirements.disabled_reason` property on the account will provide information about why this account is currently disabled. If you are a customer trying to make a purchase, please contact the owner of this site. Your transaction has not been processed.",,,cus_NS0w1YtjQdt4IL,,,,,846b213e-a832-485f-a06a-e175b35b8113,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-03-02 07:59:50,"100,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"This Connect account cannot currently make live charges. The `requirements.disabled_reason` property on the account will provide information about why this account is currently disabled. If you are a customer trying to make a purchase, please contact the owner of this site. Your transaction has not been processed.",,,cus_NS0w1YtjQdt4IL,,,,,846b213e-a832-485f-a06a-e175b35b8113,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-03-02 07:56:57,"100,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"This Connect account cannot currently make live charges. The `requirements.disabled_reason` property on the account will provide information about why this account is currently disabled. If you are a customer trying to make a purchase, please contact the owner of this site. Your transaction has not been processed.",,,cus_NS0w1YtjQdt4IL,,,,,846b213e-a832-485f-a06a-e175b35b8113,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-03-02 07:50:49,"100,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"This Connect account cannot currently make live charges. The `requirements.disabled_reason` property on the account will provide information about why this account is currently disabled. If you are a customer trying to make a purchase, please contact the owner of this site. Your transaction has not been processed.",,,cus_NS0w1YtjQdt4IL,,,,,8dc4c2a7-e0e3-40d1-9991-18a46ec69771,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
,2023-02-22 16:22:54,"3,00",,eur,,,,,,,Kofi Donation,requires_payment_method,"This Connect account cannot currently make live charges. The `requirements.disabled_reason` property on the account will provide information about why this account is currently disabled. If you are a customer trying to make a purchase, please contact the owner of this site. Your transaction has not been processed.",,,cus_NP9OQdnXtScGub,,,,,7d370161-890e-4c0d-b6d7-38f161db7632,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3LBLfQAMInl1m7DB0XEgq0ZA,2022-06-16 16:36:11,"288,00","0,00",eur,true,"288,00","0,00",eur,,"4,28",Kofi Donation,Paid,Payment complete.,"0,00",pm_1LBLfRAMInl1m7DBRjQHlnjI,cus_Lt7vxA3609pYm3,,,,po_1LBq3uAMInl1m7DBFjCF4hAx,7a8da54b-94a6-4d34-9224-13c7bd6b9a59,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3Kz2qIAMInl1m7DB3osT2Ode,2022-05-13 18:03:59,"30,00","0,00",eur,true,"30,00","0,00",eur,,"0,67",Kofi Donation,Paid,Payment complete.,"0,00",pm_1Kz2qJAMInl1m7DBR38YLPcj,cus_LgPfA5vUtCVs9i,,,,po_1KzXovAMInl1m7DB393VPVM0,0e9c22ac-6faa-401f-87b3-8fa7cbbac921,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3KvgzzAMInl1m7DB3OgzUiyC,2022-05-04 12:08:08,"50,00","0,00",eur,true,"50,00","0,00",eur,,"0,95",Kofi Donation,Paid,Payment complete.,"0,00",pm_1KvgzyAMInl1m7DBzqQKQ4Dn,cus_Lcwt96x1wQa0Tf,,,,po_1KwFyzAMInl1m7DBinNR1EEi,70b26358-3baa-42cc-a966-7c22126ae07f,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3KpU26AMInl1m7DB1q0mxU9i,2022-04-17 09:04:38,"3,00","0,00",eur,true,"3,00","0,00",eur,,"0,34",Kofi Donation,Paid,Payment complete.,"0,00",pm_1KpU24AMInl1m7DBAwvvasnr,cus_LWX6PIvB8lcoEQ,,,,po_1Kq6xTAMInl1m7DBBYpYZ9DJ,5a2d5066-11b4-4dcf-ae7d-7bc16ab80e22,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
ch_3Kn83nAMInl1m7DB3thZ1rP2,2022-04-10 21:12:40,"10,00","0,00",eur,true,"10,00","0,00",eur,,"0,39",Kofi Donation,Paid,Payment complete.,"0,00",pm_1Kn83nAMInl1m7DBhBOVMIAo,cus_LU6GhAndSrTQ4R,,,,po_1KnZOJAMInl1m7DBcL2jtmAD,dd43f866-ba82-4dfb-a0ba-90abeaa2c127,GUEST_ACCOUNT,acct_1KmzYGAMInl1m7DB
